| SC-AUTH-001 | Not started | - | - | - |
| SC-AUTH-005 | Not started | - | - | - |
| SC-AUTH-006 | Not started | - | - | - |
| SC-AUTH-007 | Not started | - | - | - |
| SC-AUTH-008 | Not started | - | - | - |
| SC-AUTH-009 | Not started | - | - | - |
| SC-AUTH-013 | Not started | - | - | - |
| SC-AUTH-017 | Not started | - | - | - |
| SC-AUTH-018 | Not started | - | - | - |
| SC-AUTH-019 | Not started | - | - | - |
| SC-AUTH-022 | Not started | - | - | - |
| SC-AUTH-023 | Not started | - | - | - |
| SC-AUTH-027 | Not started | - | - | - |
| SC-AUTH-028 | Not started | - | - | - |
| SC-AUTH-029 | Not started | - | - | - |
| SC-AUTH-030 | Not started | - | - | - |
| SC-AUTH-031 | Not started | - | - | - |
| SC-AUTH-032 | Not started | - | - | - |
| SC-AUTH-034 | Not started | - | - | - |
| SC-AUTH-035 | Not started | - | - | - |
| SC-AUTH-036 | Not started | - | - | - |
| SC-AUTH-037 | Not started | - | - | - |
| SC-AUTH-038 | Not started | - | - | - |
| SC-AUTH-039 | Not started | - | - | - |
| SC-PAT-001 | Not started | - | - | - |
| SC-PAT-002 | Not started | - | - | - |
| SC-PAT-003 | Not started | - | - | - |
| SC-PAT-004 | Not started | - | - | - |
| SC-PAT-005 | Not started | - | - | - |
| SC-PAT-006 | Not started | - | - | - |
| SC-PAT-007 | Not started | - | - | - |
| SC-PAT-008 | Not started | - | - | - |
| SC-PAT-009 | Not started | - | - | - |
| SC-PAT-010 | Not started | - | - | - |
| SC-PAT-013 | Not started | - | - | - |
| SC-PAT-015 | Not started | - | - | - |
| SC-PAT-016 | Not started | - | - | - |
| SC-PAT-017 | Not started | - | - | - |
| SC-PAT-018 | Not started | - | - | - |
| SC-PAT-019 | Not started | - | - | - |
| SC-PAT-020 | Not started | - | - | - |
| SC-PAT-025 | Not started | - | - | - |
| SC-PAT-026 | Not started | - | - | - |
| SC-PAT-027 | Not started | - | - | - |
| SC-PAT-028 | Not started | - | - | - |
| SC-PAT-029 | Not started | - | - | - |
| SC-PAT-030 | Not started | - | - | - |
| SC-PAT-032 | Not started | - | - | - |
| SC-PAT-035 | Not started | - | - | - |
